teams,csk,dc,rcb,mi,pk,kkr,rr,srh
csk,0,2,2,0,2,2,2,2
dc,4,0,0,2,2,2,0,2
rcb,2,4,0,2,0,2,2,2
mi,2,0,0,0,2,4,2,2
pk,0,0,2,2,0,0,4,0
kkr,0,0,0,0,2,0,0,4
rr,0,2,0,0,0,2,0,4
srh,0,0,0,0,2,0,0,0
